Name,Elements,Specification,DealerContact,PrivateContact
"Volvo V60 2,0 D3 163 Summum aut. 5d","['110.000', '182.000', '16,4', '11/2010', '-/-', '2010']","[            Specifications      Showing_car Your_car
0                   Nypris       613.902 kr      [-]
1                    HK/Nm  163 hk / 400 Nm  [- / -]
2             0 - 100 km/t          9,2 sek      [-]
3             Tophastighed         215 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        16,4 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                -      [-]
8            CO2 udledning                -       []
9                   Bredde           187 cm      [-]
10                  Længde           463 cm      [-]
11                   Højde           148 cm      [-]
12               Lasteevne           595 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                5      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.600 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             68 l      [-]
20                    Gear           6 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1605 kg      [-]
23                    Døre                5      [-]]",[],['tel:21461011']
"Mercedes C220 2,2 CDi Elegance stc. aut. BE 5d","['110.000', '272.000', '19,6', '11/2011', '-/-', '2011']","[            Specifications      Showing_car Your_car
0                   Nypris                -      [-]
1                    HK/Nm  170 hk / 400 Nm  [- / -]
2             0 - 100 km/t          8,3 sek      [-]
3             Tophastighed         219 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        19,6 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                4      [-]
8            CO2 udledning                -       []
9                   Bredde           177 cm      [-]
10                  Længde           461 cm      [-]
11                   Højde           146 cm      [-]
12               Lasteevne           640 kg      [-]
13                Trækhjul          Baghjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.800 kg      [-]
17                 Airbags                7      [-]
18                     ESP               Ja      [-]
19                    Tank             66 l      [-]
20                    Gear           7 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1565 kg      [-]
23                    Døre                5      [-]]",[],['tel:92451047']
"VW Golf VII 1,4 TSi 150 R-line DSG BMT 5d","['204.999', '59.000', '19,6', '8/2016', '-/-', '2017']","[            Specifications      Showing_car Your_car
0                   Nypris       321.467 kr      [-]
1                    HK/Nm  150 hk / 250 Nm  [- / -]
2             0 - 100 km/t          8,2 sek      [-]
3             Tophastighed         216 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)        19,6 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning                -       []
9                   Bredde           180 cm      [-]
10                  Længde           426 cm      [-]
11                   Højde           145 cm      [-]
12               Lasteevne           512 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.500 kg      [-]
17                 Airbags                7      [-]
18                     ESP               Ja      [-]
19                    Tank             50 l      [-]
20                    Gear           7 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1288 kg      [-]
23                    Døre                5      [-]]",[],['tel:27599639']
"VW Polo 1,4 TSi 150 BlueGT 5d","['168.000', '65.000', '20,8', '11/2015', '-/-', '2016']","[            Specifications      Showing_car Your_car
0                   Nypris       235.328 kr      [-]
1                    HK/Nm  150 hk / 250 Nm  [- / -]
2             0 - 100 km/t          7,8 sek      [-]
3             Tophastighed         220 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)        20,8 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning         110 g/km       []
9                   Bredde           168 cm      [-]
10                  Længde           406 cm      [-]
11                   Højde           145 cm      [-]
12               Lasteevne           436 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.200 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             45 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt          1224 kg      [-]
23                    Døre                5      [-]]",[],['tel:92451012']
Tesla Model 3 Standard Range+ RWD 4d,"['345.000', '31.000', '440 km', '12/2020', '-/-', '2020']","[            Specifications    Showing_car Your_car
0                   Nypris     369.990 kr      [-]
1                    HK/Nm     325 hk / -  [- / -]
2             0 - 100 km/t        5,6 sek      [-]
3             Tophastighed       225 km/t      [-]
4               Drivmiddel             El      [-]
5               Rækkevidde  (WLTP) 440 km      [-]
6         Batterikapacitet         62 kWh      [-]
7            Energiforbrug    142,0 Wh/km      [-]
8                 Euronorm              -      [-]
9            CO2 udledning              -       []
10                  Bredde         185 cm      [-]
11                  Længde         469 cm      [-]
12                   Højde         144 cm      [-]
13               Lasteevne         389 kg      [-]
14                Trækhjul        Baghjul      [-]
15                Cylindre              -      [-]
16             ABS-bremser             Ja      [-]
17  Max. trækvægt m/bremse       1.000 kg      [-]
18                 Airbags              6      [-]
19                     ESP             Ja      [-]
20                    Tank              -      [-]
21                    Gear         1 gear      [-]
22                Geartype     Automatisk      [-]
23                    Vægt        1750 kg      [-]
24                    Døre              4      [-]]",[],['tel:29706710']
"VW Passat 2,0 TDi 140 Comfortline Variant BMT 5d","['100.000', '183.000', '21,7', '8/2012', '-/-', '2012']","[            Specifications      Showing_car Your_car
0                   Nypris       433.801 kr      [-]
1                    HK/Nm  140 hk / 320 Nm  [- / -]
2             0 - 100 km/t         10,0 sek      [-]
3             Tophastighed         210 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        21,7 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                5      [-]
8            CO2 udledning         120 g/km       []
9                   Bredde           182 cm      [-]
10                  Længde           477 cm      [-]
11                   Højde           152 cm      [-]
12               Lasteevne           599 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.800 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             70 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt          1471 kg      [-]
23                    Døre                5      [-]]",[],['tel:93639333']
"Mini Clubman Cooper 1,6  5d","['105.000', '146.000', '18,2', '11/2010', '-/-', '2010']","[            Specifications      Showing_car Your_car
0                   Nypris       328.999 kr      [-]
1                    HK/Nm  122 hk / 160 Nm  [- / -]
2             0 - 100 km/t          9,8 sek      [-]
3             Tophastighed         201 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)        18,2 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                -      [-]
8            CO2 udledning                -       []
9                   Bredde           168 cm      [-]
10                  Længde           394 cm      [-]
11                   Højde           143 cm      [-]
12               Lasteevne           525 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse           750 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             40 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt          1120 kg      [-]
23                    Døre                5      [-]]",[],['tel:21144291']
"Alfa Romeo Spider 2,4 JTDm 20V 2d","['165.000', '206.000', '14,7', '4/2007', '-/-', '2007']","[            Specifications      Showing_car Your_car
0                   Nypris                -      [-]
1                    HK/Nm  200 hk / 400 Nm  [- / -]
2             0 - 100 km/t          8,4 sek      [-]
3             Tophastighed         228 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        14,7 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                4      [-]
8            CO2 udledning                -       []
9                   Bredde           183 cm      [-]
10                  Længde           439 cm      [-]
11                   Højde           132 cm      [-]
12               Lasteevne           325 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                5      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.500 kg      [-]
17                 Airbags                -      [-]
18                     ESP                -      [-]
19                    Tank             70 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt          1605 kg      [-]
23                    Døre                2      [-]]",[],['tel:21289919']
"VW Up! 1,0 60 Take Up! BMT 3d","['49.500', '64.000', '24,4', '12/2015', '-/-', '2016']","[            Specifications    Showing_car Your_car
0                   Nypris      87.599 kr      [-]
1                    HK/Nm  60 hk / 95 Nm  [- / -]
2             0 - 100 km/t       14,4 sek      [-]
3             Tophastighed       160 km/t      [-]
4               Drivmiddel         Benzin      [-]
5           Forbrug (NEDC)      24,4 km/l      [-]
6           Forbrug (WLTP)                     [-]
7                 Euronorm              -      [-]
8            CO2 udledning              -       []
9                   Bredde         164 cm      [-]
10                  Længde         354 cm      [-]
11                   Højde         149 cm      [-]
12               Lasteevne         461 kg      [-]
13                Trækhjul        Forhjul      [-]
14                Cylindre              3      [-]
15             ABS-bremser             Ja      [-]
16  Max. trækvægt m/bremse           0 kg      [-]
17                 Airbags              4      [-]
18                     ESP             Ja      [-]
19                    Tank           35 l      [-]
20                    Gear         5 gear      [-]
21                Geartype         Manuel      [-]
22                    Vægt         829 kg      [-]
23                    Døre              3      [-]]",[],['tel:20301300']
"VW Golf III 1,8 CL 5d","['25.500', '185.000', '12,5', '4/1998', '-/-', '1998']","[            Specifications     Showing_car Your_car
0                   Nypris      191.501 kr      [-]
1                    HK/Nm  90 hk / 145 Nm  [- / -]
2             0 - 100 km/t        12,1 sek      [-]
3             Tophastighed        178 km/t      [-]
4               Drivmiddel          Benzin      [-]
5           Forbrug (NEDC)       12,5 km/l      [-]
6           Forbrug (WLTP)                      [-]
7                 Euronorm               -      [-]
8            CO2 udledning               -       []
9                   Bredde          170 cm      [-]
10                  Længde          402 cm      [-]
11                   Højde          142 cm      [-]
12               Lasteevne          500 kg      [-]
13                Trækhjul         Forhjul      [-]
14                Cylindre               4      [-]
15             ABS-bremser             Nej      [-]
16  Max. trækvægt m/bremse        1.200 kg      [-]
17                 Airbags               -      [-]
18                     ESP               -      [-]
19                    Tank            55 l      [-]
20                    Gear          5 gear      [-]
21                Geartype          Manuel      [-]
22                    Vægt         1025 kg      [-]
23                    Døre               5      [-]]",[],['tel:92450766']
